iter	Logloss
0	0.6474473639
1	0.6074742599
2	0.571601571
3	0.5402868531
4	0.5147518515
5	0.4921261458
6	0.4700129067
7	0.4510991379
8	0.4366012133
9	0.4242239206
10	0.4100711282
11	0.4002001748
12	0.389459012
13	0.3796221296
14	0.370085369
15	0.3623562156
16	0.3553480188
17	0.34969148
18	0.3448910946
19	0.3402147649
20	0.3359941533
21	0.3317107417
22	0.3283117895
23	0.3244598309
24	0.3213757709
25	0.3184765272
26	0.3149760923
27	0.3131984952
28	0.3106765918
29	0.3088309841
30	0.3072730905
31	0.3053966487
32	0.3035985224
33	0.3019553795
34	0.3001655377
35	0.2990117072
36	0.2971972452
37	0.2962985685
38	0.2952688117
39	0.2938728065
40	0.29261962
41	0.291858773
42	0.2907456062
43	0.2893783386
44	0.2884479114
45	0.2874614018
46	0.2865982405
47	0.2856670826
48	0.2845354342
49	0.2838530069
50	0.2829338484
51	0.282054606
52	0.2812833825
53	0.2805643147
54	0.2798902589
55	0.2794163854
56	0.2788020591
57	0.2781085801
58	0.2775450435
59	0.2770329107
60	0.2764082718
61	0.2756765612
62	0.2751604901
63	0.2745022938
64	0.2741193943
65	0.2734155416
66	0.2728976658
67	0.2723742169
68	0.2718527628
69	0.2715060332
70	0.2709443336
71	0.2704210808
72	0.270181165
73	0.2699090024
74	0.2695844659
75	0.2692154121
76	0.2688830796
77	0.2683508693
78	0.2678906975
79	0.26750416
80	0.2671710152
81	0.2668070195
82	0.2665343291
83	0.2661699097
84	0.2658766775
85	0.2655943894
86	0.265142082
87	0.264685955
88	0.2644027783
89	0.2639946495
90	0.2635573984
91	0.2631081527
92	0.2627388158
93	0.2624833709
94	0.2621582575
95	0.2619363042
96	0.2616211417
97	0.2612685893
98	0.2610289621
99	0.2604731518
100	0.2601091823
101	0.2597503443
102	0.2594623563
103	0.2590601352
104	0.258726961
105	0.2584876832
106	0.2581575646
107	0.2578778177
108	0.2574549246
109	0.2571344508
110	0.2567734247
111	0.2563647214
112	0.2560134032
113	0.2557845546
114	0.2554893079
115	0.2551879895
116	0.2549468774
117	0.2546795736
118	0.2543555647
119	0.2541132327
120	0.253857039
121	0.2535484418
122	0.2533206207
123	0.2530871821
124	0.2528179452
125	0.2525408041
126	0.2522374547
127	0.2519906531
128	0.2516994348
129	0.2515152218
130	0.2512647999
131	0.2509853195
132	0.2506862083
133	0.2504962584
134	0.2502946181
135	0.2499026262
136	0.2496804301
137	0.2494444639
138	0.2491960578
139	0.2489655604
140	0.2486887614
141	0.2483482061
142	0.2481260577
143	0.2478823046
144	0.2475693408
145	0.2471560198
146	0.2469100197
147	0.2466460011
148	0.2463565339
149	0.2460857628
150	0.2459169261
151	0.2456497614
152	0.2453886212
153	0.2451044858
154	0.2448980809
155	0.2446440196
156	0.2444502658
157	0.2442876766
158	0.2440981978
159	0.2438055422
160	0.2435962739
161	0.2433079563
162	0.2430767629
163	0.2427845111
164	0.2425421375
165	0.2423840817
166	0.2421940133
167	0.2419642324
168	0.2417783776
169	0.2415928756
170	0.241417452
171	0.2411928647
172	0.2409942425
173	0.2407950876
174	0.2404629041
175	0.2402356385
176	0.2400063906
177	0.2398137837
178	0.2395083937
179	0.2392492312
180	0.2390221704
181	0.2386885927
182	0.2384413384
183	0.2380836502
184	0.2378004689
185	0.2375351893
186	0.2372915527
187	0.2370156812
188	0.2367670376
189	0.2365875
190	0.2363286154
191	0.2360539604
192	0.2358045002
193	0.2355325435
194	0.2353256995
195	0.2350412149
196	0.2348495506
197	0.2346599254
198	0.2344575405
199	0.2342155456
200	0.2339932282
201	0.2336648465
202	0.2333457198
203	0.2330941428
204	0.2328295392
205	0.2325798212
206	0.2323360757
207	0.2321225269
208	0.2318209852
209	0.2315026386
210	0.2312454132
211	0.2310108366
212	0.2307266308
213	0.2305705576
214	0.230319203
215	0.230032459
216	0.2298054541
217	0.2294822592
218	0.2292336035
219	0.2290477873
220	0.2287818015
221	0.2285149648
222	0.2282102451
223	0.2279576246
224	0.2277368424
225	0.227569719
226	0.227327757
227	0.2270555469
228	0.2268182698
229	0.2265962809
230	0.2263632818
231	0.2261108619
232	0.2259060929
233	0.2256190077
234	0.225416195
235	0.2251394531
236	0.224911213
237	0.224726303
238	0.2244919333
239	0.2242622993
240	0.2239837064
241	0.2238034405
242	0.2235149426
243	0.2232949312
244	0.2230208366
245	0.2227355629
246	0.2224314604
247	0.2221570687
248	0.2219259918
249	0.2216422884
250	0.2214128271
251	0.2211512174
252	0.220914131
253	0.2206762983
254	0.2204667103
255	0.2201637846
256	0.2198488903
257	0.2195365052
258	0.2192850148
259	0.2189659262
260	0.2186880107
261	0.2185122581
262	0.2182870865
263	0.2180955493
264	0.2177796226
