iter	Logloss
265	0.2175434963
266	0.2172763092
267	0.2170319068
268	0.2167775942
269	0.2165211483
270	0.2162002293
271	0.2158920243
272	0.2156295741
273	0.2154279624
274	0.2151833113
275	0.214944443
276	0.2147234557
277	0.2145413726
278	0.2143272166
279	0.2141501127
280	0.2139627478
281	0.2137333869
282	0.2135019695
283	0.2132266138
284	0.2130166355
285	0.2127275796
286	0.212448405
287	0.2122081642
288	0.2120109927
289	0.2117261699
290	0.2115849903
291	0.2113344347
292	0.2111485476
293	0.2109461107
294	0.2107510451
295	0.2104441714
296	0.2102435056
297	0.2100101418
298	0.2098188088
299	0.2095242591
300	0.2092627561
301	0.2090115234
302	0.2087405036
303	0.2084862325
304	0.2082572154
305	0.2080016274
306	0.2077000738
307	0.2074474793
308	0.2072197121
309	0.2070164221
310	0.2068620029
311	0.2066065067
312	0.2064122642
313	0.2061882125
314	0.2059209844
315	0.2056895573
316	0.205467798
317	0.2052266407
318	0.2049561401
319	0.2047834753
320	0.204594756
321	0.2043839429
322	0.2041687601
323	0.2039488093
324	0.2037085844
325	0.2035205362
326	0.203260291
327	0.203105057
328	0.2027930928
329	0.2025186665
330	0.2023085452
331	0.2020684712
332	0.2017970224
333	0.2015640314
334	0.2013458617
335	0.2011371215
336	0.200938406
337	0.2007443726
338	0.2004923169
339	0.2002590439
340	0.2000541679
341	0.1998488151
342	0.1996577139
343	0.1994460581
344	0.1992720961
345	0.1990427589
346	0.1988205574
347	0.1986656566
348	0.1984207691
349	0.1981669778
350	0.1979341134
351	0.1977437975
352	0.1975096892
353	0.1973210863
354	0.1970437091
355	0.1967711999
356	0.1965200811
357	0.1962678345
358	0.1960257468
359	0.1957749037
360	0.1956179649
361	0.1953671919
362	0.195141112
363	0.1949623572
364	0.1948118069
365	0.1945752558
366	0.1943911475
367	0.1941426946
368	0.1939746607
369	0.1937422807
370	0.1935417468
371	0.1933499616
372	0.1932134259
373	0.1930564137
374	0.1928282885
375	0.1926427651
376	0.1924163727
377	0.1922181875
378	0.1919971254
379	0.1917935279
380	0.1915739599
381	0.1913304373
382	0.1911012551
383	0.1908949697
384	0.1906930557
385	0.1904719112
386	0.1903451443
387	0.1900969107
388	0.1898274716
389	0.1895969264
390	0.1893761005
391	0.1891796779
392	0.1889823962
393	0.1887896243
394	0.1886282341
395	0.1883817489
396	0.1881465887
397	0.1879088176
398	0.1877464868
399	0.1875339311
